TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:09.80,0.679374389051808,0.37,24.09,24.02
00:09.86,0.684261974584555,0.23,24.55,24.02
00:09.91,0.698924731182796,0.23,22.70,25.25
00:09.96,0.718475073313783,-0.18,25.48,24.43
00:10.02,0.703812316715543,-0.28,25.94,24.43
00:10.07,0.689149560117302,0.54,25.94,24.84
00:10.12,0.679374389051808,0.4,24.55,25.25
00:10.17,0.698924731182796,-0.28,25.02,26.08
00:10.23,0.72336265884653,-0.15,26.40,24.43
00:10.28,0.708699902248289,0.4,26.40,24.84
00:10.33,0.689149560117302,-0.15,25.48,23.19
00:10.39,0.684261974584555,-0.01,25.48,26.08
00:10.44,0.694037145650049,0.4,25.48,24.43
00:10.50,0.718475073313783,0.27,25.94,24.02
00:10.55,0.713587487781036,0.27,25.02,25.25
00:10.60,0.698924731182796,0.27,25.48,25.66
00:10.65,0.684261974584555,0.13,24.55,24.43
00:10.71,0.694037145650049,-0.42,26.40,24.43
00:10.76,0.72336265884653,0.13,25.02,23.61
00:10.82,0.713587487781036,0.1,26.87,25.25
00:10.87,0.698924731182796,0.09,25.48,27.72
00:10.92,0.669599217986315,0.09,24.55,25.25
00:10.97,0.698924731182796,-0.32,23.63,24.84
00:11.03,0.718475073313783,0.13,24.55,24.02
00:11.08,0.713587487781036,0.13,25.94,25.66
00:11.13,0.689149560117302,0.13,25.48,25.25
00:11.19,0.669599217986315,0.13,24.55,24.84
00:11.24,0.698924731182796,0.13,24.55,24.43
00:11.29,0.718475073313783,0.13,25.48,25.25
00:11.35,0.718475073313783,-0.42,26.40,25.66
00:11.40,0.694037145650049,-0.42,25.48,24.43
00:11.45,0.664711632453568,0.13,23.17,24.84
00:11.51,0.703812316715543,-0.01,23.63,25.25
00:11.56,0.708699902248289,0.13,25.48,23.19
00:11.61,0.713587487781036,-0.31,25.94,24.84
00:11.67,0.698924731182796,0.13,26.40,24.43
00:11.72,0.679374389051808,0.13,24.55,26.49
00:11.77,0.694037145650049,0.13,24.09,24.84
00:11.83,0.708699902248289,-0.42,25.94,24.02
00:11.88,0.718475073313783,0.1,25.02,25.25
00:11.93,0.703812316715543,0.23,25.94,25.25
00:11.99,0.679374389051808,0.13,24.55,24.84
00:12.04,0.698924731182796,0.23,26.87,24.84
00:12.09,0.698924731182796,0.13,23.63,24.84
00:12.15,0.72336265884653,0.13,25.48,25.25
00:12.20,0.698924731182796,0.13,27.33,25.25
00:12.25,0.674486803519062,-0.28,25.48,25.25
00:12.30,0.689149560117302,0,24.09,25.25
00:12.36,0.703812316715543,0.27,25.02,24.84
00:12.41,0.718475073313783,0.13,25.48,24.02
00:12.46,0.694037145650049,0.13,25.94,24.43
00:12.52,0.669599217986315,0.13,23.63,25.66
00:12.57,0.703812316715543,-0.12,24.55,24.43
00:12.62,0.708699902248289,-0.12,25.48,24.84
00:12.68,0.72336265884653,-0.12,25.48,24.02
00:12.73,0.698924731182796,0.13,25.48,24.43
00:12.78,0.679374389051808,0,25.94,25.25
00:12.84,0.689149560117302,-0.14,23.63,24.02
00:12.89,0.698924731182796,0,27.79,24.02
00:12.94,0.713587487781036,-0.14,27.33,23.61
00:13.00,0.694037145650049,0.1,26.40,24.43
00:13.05,0.669599217986315,0.1,25.94,25.25
00:13.10,0.684261974584555,0.1,25.02,23.61
00:13.16,0.703812316715543,0.13,25.48,25.25
00:13.21,0.72336265884653,0,25.02,24.43
00:13.26,0.698924731182796,0,25.02,25.66
00:13.32,0.684261974584555,0,25.94,25.25
00:13.37,0.684261974584555,0,24.55,24.43
00:13.42,0.703812316715543,-0.01,25.02,24.43
00:13.48,0.718475073313783,0,26.40,24.84
00:13.53,0.698924731182796,-0.01,24.55,24.84
00:13.58,0.674486803519062,-0.56,24.55,25.66
00:13.64,0.684261974584555,-0.16,23.63,25.25
00:13.69,0.708699902248289,-0.14,25.48,26.49
00:13.74,0.728250244379277,-0.12,26.40,24.02
00:13.80,0.698924731182796,-0.14,27.33,24.84
00:13.85,0.684261974584555,0,24.55,25.25
00:13.90,0.689149560117302,-0.55,24.09,24.02
00:13.96,0.698924731182796,-0.55,23.17,24.43
00:14.01,0.72336265884653,-0.28,25.94,25.25
00:14.06,0.694037145650049,-0.14,25.94,24.43
00:14.12,0.679374389051808,-0.56,25.02,24.43
00:14.17,0.684261974584555,-0.56,23.63,25.25
00:14.22,0.708699902248289,-0.55,25.94,24.02
00:14.27,0.742913000977517,-0.59,25.48,23.61
00:14.33,0.72336265884653,-0.56,25.94,24.84
00:14.38,0.684261974584555,-0.14,25.94,24.84
00:14.43,0.689149560117302,-0.42,23.63,25.25
00:14.49,0.698924731182796,0,25.02,24.84
00:14.54,0.72336265884653,-0.55,25.02,25.25
00:14.60,0.703812316715543,-0.41,24.55,24.43
00:14.65,0.684261974584555,-0.15,25.02,24.02
00:14.70,0.684261974584555,-0.55,25.02,25.25
00:14.75,0.718475073313783,-0.56,25.02,26.08
00:14.81,0.728250244379277,-0.54,25.48,24.43
00:14.86,0.708699902248289,-0.68,25.02,25.25
00:14.91,0.684261974584555,-0.14,24.55,24.84
00:14.97,0.684261974584555,0,23.63,24.43
00:15.02,0.703812316715543,-0.55,24.09,26.08
00:15.07,0.718475073313783,-0.55,26.40,24.02
00:15.13,0.698924731182796,-0.04,25.94,24.84
00:15.18,0.679374389051808,-0.55,24.09,24.84
00:15.23,0.674486803519062,-0.17,24.55,25.66
00:15.29,0.703812316715543,-0.59,23.17,24.02
00:15.34,0.72336265884653,-0.67,25.02,24.02
00:15.39,0.708699902248289,-0.55,25.48,25.25
00:15.45,0.679374389051808,-0.55,26.40,24.84
00:15.50,0.679374389051808,-0.54,25.94,24.43
00:15.55,0.694037145650049,-0.55,24.09,24.02
00:15.60,0.718475073313783,-0.55,25.94,23.19
00:15.66,0.708699902248289,-0.55,25.02,27.31
00:15.71,0.694037145650049,-0.42,25.02,24.43
00:15.76,0.674486803519062,-0.42,25.02,24.84
00:15.82,0.694037145650049,0,25.48,24.84
00:15.87,0.72336265884653,-0.68,24.55,24.84
00:15.92,0.713587487781036,-0.55,25.02,25.25
00:15.98,0.684261974584555,-0.55,26.40,25.25
00:16.03,0.679374389051808,-0.56,24.55,25.25
00:16.08,0.703812316715543,-0.14,25.02,25.25
00:16.14,0.718475073313783,-0.55,25.48,24.02
00:16.19,0.708699902248289,-0.69,25.94,24.84
00:16.25,0.694037145650049,-0.54,25.48,24.02
00:16.30,0.674486803519062,-0.55,24.09,25.25
00:16.35,0.689149560117302,-0.81,25.02,24.84
00:16.40,0.713587487781036,-0.73,25.48,23.19
00:16.46,0.713587487781036,-0.55,25.94,24.43
00:16.51,0.694037145650049,-0.55,26.40,24.43
00:16.56,0.669599217986315,-0.14,24.55,25.66
00:16.62,0.694037145650049,-0.55,27.33,24.84
00:16.67,0.713587487781036,-0.55,25.94,24.02
00:16.72,0.703812316715543,-0.55,25.02,24.84
00:16.78,0.689149560117302,-0.54,26.40,24.84
00:16.83,0.669599217986315,-0.68,25.94,24.43
00:16.88,0.708699902248289,-0.55,24.09,24.84
00:16.94,0.72336265884653,-0.41,25.02,26.49
00:16.99,0.713587487781036,-0.54,26.87,25.25
00:17.04,0.694037145650049,-0.55,27.33,24.02
00:17.10,0.669599217986315,-0.67,25.02,25.66
00:17.15,0.694037145650049,-0.55,24.09,25.25
00:17.20,0.708699902248289,0,25.94,24.43
00:17.26,0.718475073313783,-0.55,25.02,24.02
00:17.31,0.689149560117302,-0.45,26.40,24.43
00:17.36,0.669599217986315,-0.42,25.02,25.25
00:17.42,0.689149560117302,-0.55,23.63,24.02
00:17.47,0.708699902248289,-0.81,23.63,24.43
00:17.52,0.72336265884653,-0.42,26.87,24.02
00:17.58,0.713587487781036,-0.41,26.40,24.84
00:17.63,0.674486803519062,-0.41,24.09,27.31
00:17.68,0.694037145650049,-0.68,24.55,24.43
00:17.74,0.703812316715543,-0.53,25.94,24.43
00:17.79,0.733137829912023,-0.42,26.40,23.61
00:17.84,0.698924731182796,-0.41,25.48,26.49
00:17.89,0.674486803519062,-0.28,25.48,24.43
00:17.95,0.694037145650049,-0.4,25.48,24.84
00:18.00,0.713587487781036,-0.38,23.63,24.84
00:18.06,0.718475073313783,-0.41,25.94,24.02
00:18.11,0.698924731182796,-0.26,25.48,24.84
00:18.16,0.679374389051808,-0.42,23.63,25.25
00:18.21,0.689149560117302,-0.42,24.09,24.84
00:18.27,0.703812316715543,-0.01,25.02,24.84
00:18.32,0.718475073313783,0.09,25.48,24.02
